Datum,Inflation_Gesamt,Inflation_Restaurants_Hotels,Inflation_Transport,ECDC_Europa_Inzidenz,CentralEurope_Temp,HolidayDestination_Temp,CentralEurope_Sunshine,HolidayDestination_Sunshine,CentralEurope_Precipitation,HolidayDestination_Precipitation
2023-05-29,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.8105868254025855,0.6242419715553483,0.05992129119758781,1.690447864712308,-0.9290101602310006,-0.9089881055584317,2.33264775191628
2023-05-30,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.8105868254025855,0.56599791448016,0.10483993422647976,1.072687780471617,-0.21607084926884745,-0.8725590547181885,1.4482698732275674
2023-05-31,-1.2847451036732631,-1.3927215367931334,-1.1813057832131553,-0.8105868254025855,0.7552910999745218,0.2545687443227859,1.8706278892825092,0.8533381171743816,-0.9089881055584317,-0.07286007811701846
2023-06-01,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.8105868254025855,0.8135351570497105,0.23959586331315508,1.4587878331220487,0.6156916801869974,-0.9089881055584317,2.33264775191628
2023-06-02,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.8105868254025855,0.5951199430177543,0.20965010129389397,1.561747847162164,0.5760839406891002,-0.8361300038779454,-0.07286007811701846
2023-06-05,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.7560343537438352,0.7552910999745218,0.3743517923998304,0.9182477594114443,1.0117690751659711,0.366028673850077,1.3067694126373732
2023-06-06,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.7560343537438352,0.7698521142433191,0.5240806024961365,0.7638077383512717,1.3682387306470478,1.495329249897613,0.42239153394866075
2023-06-07,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.7560343537438352,0.944584285468884,0.47916195946724516,0.9954677699415304,-1.2062643367162824,0.8396063347732372,-0.14361030841211544
2023-06-08,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.7560343537438352,1.0610723996192606,0.5091077214865063,1.4330478296120202,0.45726072219540775,-0.43541044463527134,-0.39123611444495504
2023-06-09,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.7560343537438352,1.192121528038434,0.5689992455250286,1.4073078261019913,0.8533381171743816,-0.18040708875356962,-0.320485884149858
2023-06-12,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.9469680045494616,1.1775605137696374,0.6288907695635513,1.8191478822624518,0.6949071591827919,-0.8361300038779454,0.10401549762072418
2023-06-13,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.9469680045494616,0.9882673282752753,0.5091077214865063,1.8191478822624518,0.6156916801869974,-0.8725590547181885,2.4387730973589257
2023-06-14,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.9469680045494616,0.9300232712000867,0.5540263645153982,1.9221078963025673,0.4176529826975105,-0.8361300038779454,0.8115178005716944
2023-06-15,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.9469680045494616,1.0173893568128693,0.8385111036983797,1.8706278892825092,1.3286309911491498,-0.9089881055584317,-0.14361030841211544
2023-06-16,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-0.9469680045494616,0.944584285468884,0.8834297467272717,1.5874878506721928,1.4078464701449451,1.2403258940159116,-0.6742370356253431
2023-06-19,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-1.137901655355088,1.3522926849952022,0.9582941517754248,0.9697277664315017,1.2890232516512525,-0.7632719021974593,-0.178985423559664
2023-06-20,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-1.137901655355088,1.556146884758361,1.048131437833208,0.9182477594114443,1.1702000331575608,-0.5446975971560006,-0.6388619204777946
2023-06-21,-0.6150431901589624,-0.2801890209042276,-1.0119243596956877,-1.137901655355088,1.5998299275647525,1.0631043188428388,1.304347812061876,1.130592293659663,-0.326123292114542,0.3870164188011122
