Datum,EXV9_ETF_Kurs,DAX_Kurs,VIX_Kurs,BrentOil_Kurs,WTIOil_Kurs,EUR_USD_Kurs,EUR_CHF_Kurs,EUR_GPB_Kurs,EUR_TRY_Kurs,Lufthansa_Kurs,Ryanair_Kurs,EasyJet_Kurs,Air France-KLM_Kurs,Booking_Kurs,Expedia_Kurs,Uber_Kurs,Airbnb_Kurs,PrimeEnergyOil_Gas_Kurs,Marriott_Hotels_Kurs,Hilton_Hotels_Kurs,AWAY-ETF_Kurs,Article Count,All Articles,News_Sentiment,Mallorca,wellness,airbnb,hotel,camping,vacation_christmas_block,vacation_easter_block,vacation_summer_wave,vacation_autumn_wave,vacation_winter_ski_wave,holiday
2023-09-19,19.97593688964844,15664.48046875,14.109999656677246,94.33999633789062,91.1999969482422,1.0692671537399292,0.9593700170516968,0.8633800148963928,28.821090698242188,6.986320018768311,38.75273895263672,422.3497619628906,12.20400047302246,122.22666931152344,103.29869842529295,47.59000015258789,141.85000610351562,39.19369125366211,193.4366149902344,151.1029510498047,17.296905517578125,,,,3.0,3.0,8.0,71.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-20,20.149599075317383,15781.58984375,15.140000343322754,93.52999877929688,90.27999877929688,1.0682048797607422,0.9584500193595886,0.8618299961090088,28.84964942932129,7.118650436401367,38.99789047241211,430.4449462890625,12.552000045776367,120.50521850585938,103.0122528076172,46.54999923706055,138.00999450683594,38.846927642822266,194.7227020263672,151.68890380859375,17.127426147460938,,,,3.0,3.0,8.0,71.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-21,19.530044555664062,15571.8603515625,17.540000915527344,93.3000030517578,89.62999725341797,1.065303087234497,0.9579399824142456,0.8639100193977356,28.721599578857425,7.068697452545166,38.49609756469727,433.8429260253906,12.350000381469728,119.22354888916016,100.71080780029295,44.59999847412109,132.75,38.16331481933594,190.15325927734372,146.69354248046875,16.618988037109375,,,,3.0,3.0,8.0,71.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-22,19.393930435180664,15557.2900390625,17.200000762939453,93.2699966430664,90.02999877929688,1.0661548376083374,0.9643099904060364,0.8671200275421143,28.895320892333984,7.129167079925537,38.39650344848633,434.1427612304688,12.277999877929688,120.25509643554688,99.6341552734375,44.40999984741211,132.1999969482422,37.737300872802734,189.36407470703125,146.57432556152344,16.71868133544922,,,,3.0,3.0,8.0,71.0,8.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-25,18.84008407592773,15405.490234375,16.899999618530273,93.29000091552734,89.68000030517578,1.0648492574691772,0.9658799767494202,0.8697500228881836,28.937509536743164,6.712896823883057,38.02878189086914,422.0498962402344,11.829999923706056,121.64393615722656,99.45635986328124,44.90999984741211,134.13999938964844,37.677852630615234,187.9708251953125,146.79286193847656,16.74858856201172,,,,5.0,3.0,8.0,75.0,7.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-26,18.78845596313477,15255.8701171875,18.940000534057617,93.95999908447266,90.38999938964844,1.0591648817062378,0.966040015220642,0.867110013961792,28.81561088562012,6.666450023651123,37.17458724975586,419.7513122558594,11.699999809265137,120.17813873291016,98.17228698730467,44.27000045776367,132.27999877929688,37.32118988037109,186.83090209960935,146.32606506347656,16.5192928314209,,,,5.0,3.0,8.0,75.0,7.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-27,18.77906608581543,15217.4501953125,18.21999931335449,96.5500030517578,93.68000030517578,1.0569483041763306,0.9678999781608582,0.8700299859046936,28.82402992248535,6.706761837005615,37.34695816040039,418.3521423339844,11.711999893188477,121.04513549804688,99.0217514038086,45.13999938964844,134.02999877929688,37.59859848022461,188.89642333984372,148.33216857910156,16.628955841064453,,,,5.0,3.0,8.0,75.0,7.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-28,18.868247985839844,15323.5,17.34000015258789,95.37999725341795,91.70999908447266,1.0505305528640747,0.9673100113868712,0.8656200170516968,28.681610107421875,6.598093986511231,37.65723037719727,417.8524169921875,11.87399959564209,121.91566467285156,101.32320404052734,46.13999938964844,136.47000122070312,38.064239501953125,194.420654296875,152.6125030517578,16.808406829833984,,,,5.0,3.0,8.0,75.0,7.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-09-29,18.81192398071289,15386.580078125,17.520000457763672,95.30999755859376,90.79000091552734,1.0562450885772705,0.9662200212478638,0.8653900027275085,28.990049362182617,6.577937602996826,37.235870361328125,427.0469055175781,11.89799976348877,121.09578704833984,101.80719757080078,45.9900016784668,137.2100067138672,37.96516799926758,191.5075225830078,149.14651489257812,16.788467407226562,,,,5.0,3.0,8.0,75.0,7.0,0.0,0.0,0.2,0.0,0.0,0.0
2023-10-02,18.704910278320312,15247.2099609375,17.610000610351562,90.70999908447266,88.81999969482422,1.0565240383148191,0.9670699834823608,0.866349995136261,28.975799560546875,6.537624835968018,37.00221633911133,432.0439758300781,11.944000244140623,121.4809799194336,100.79969024658205,45.68000030517578,136.55999755859375,37.95527267456055,188.7697296142578,148.19314575195312,16.556180953979492,,,,3.0,3.0,8.0,74.0,7.0,0.0,0.0,0.0,0.6,0.0,0.0
