survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2024-W52,ILIconsultationrate,15-64,2801.9
primary care syndromic,Austria,2024-W52,ILIconsultationrate,5-14,0.0
primary care syndromic,Austria,2024-W52,ILIconsultationrate,65+,3159.9
primary care syndromic,Austria,2024-W52,ILIconsultationrate,total,2063.8
primary care syndromic,Austria,2024-W51,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W51,ILIconsultationrate,15-64,4055.0
primary care syndromic,Austria,2024-W51,ILIconsultationrate,5-14,4628.9
primary care syndromic,Austria,2024-W51,ILIconsultationrate,65+,1520.3
primary care syndromic,Austria,2024-W51,ILIconsultationrate,total,3426.1
primary care syndromic,Austria,2024-W50,ILIconsultationrate,0-4,280.0
primary care syndromic,Austria,2024-W50,ILIconsultationrate,15-64,3043.1
primary care syndromic,Austria,2024-W50,ILIconsultationrate,5-14,1330.5
primary care syndromic,Austria,2024-W50,ILIconsultationrate,65+,1458.0
primary care syndromic,Austria,2024-W50,ILIconsultationrate,total,2223.6
primary care syndromic,Austria,2024-W49,ILIconsultationrate,0-4,839.9
primary care syndromic,Austria,2024-W49,ILIconsultationrate,15-64,2637.9
primary care syndromic,Austria,2024-W49,ILIconsultationrate,5-14,824.9
primary care syndromic,Austria,2024-W49,ILIconsultationrate,65+,1200.7
primary care syndromic,Austria,2024-W49,ILIconsultationrate,total,1908.7
primary care syndromic,Austria,2024-W48,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W48,ILIconsultationrate,15-64,2593.7
primary care syndromic,Austria,2024-W48,ILIconsultationrate,5-14,1756.5
primary care syndromic,Austria,2024-W48,ILIconsultationrate,65+,1114.9
primary care syndromic,Austria,2024-W48,ILIconsultationrate,total,2054.6
primary care syndromic,Austria,2024-W47,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W47,ILIconsultationrate,15-64,3221.9
primary care syndromic,Austria,2024-W47,ILIconsultationrate,5-14,3671.2
primary care syndromic,Austria,2024-W47,ILIconsultationrate,65+,1827.2
primary care syndromic,Austria,2024-W47,ILIconsultationrate,total,2850.8
primary care syndromic,Austria,2024-W46,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W46,ILIconsultationrate,15-64,2756.8
primary care syndromic,Austria,2024-W46,ILIconsultationrate,5-14,984.6
primary care syndromic,Austria,2024-W46,ILIconsultationrate,65+,1139.7
primary care syndromic,Austria,2024-W46,ILIconsultationrate,total,1968.2
primary care syndromic,Austria,2024-W45,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W45,ILIconsultationrate,15-64,2697.7
primary care syndromic,Austria,2024-W45,ILIconsultationrate,5-14,1436.9
primary care syndromic,Austria,2024-W45,ILIconsultationrate,65+,1247.7
primary care syndromic,Austria,2024-W45,ILIconsultationrate,total,2008.9
primary care syndromic,Austria,2024-W44,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W44,ILIconsultationrate,15-64,2017.3
primary care syndromic,Austria,2024-W44,ILIconsultationrate,5-14,1117.8
primary care syndromic,Austria,2024-W44,ILIconsultationrate,65+,1858.0
primary care syndromic,Austria,2024-W44,ILIconsultationrate,total,1685.2
primary care syndromic,Austria,2024-W43,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W43,ILIconsultationrate,15-64,3035.1
primary care syndromic,Austria,2024-W43,ILIconsultationrate,5-14,1317.4
primary care syndromic,Austria,2024-W43,ILIconsultationrate,65+,1486.5
primary care syndromic,Austria,2024-W43,ILIconsultationrate,total,2302.5
primary care syndromic,Austria,2024-W42,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W42,ILIconsultationrate,15-64,3327.0
primary care syndromic,Austria,2024-W42,ILIconsultationrate,5-14,1836.3
primary care syndromic,Austria,2024-W42,ILIconsultationrate,65+,1718.9
primary care syndromic,Austria,2024-W42,ILIconsultationrate,total,2670.8
primary care syndromic,Austria,2024-W41,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W41,ILIconsultationrate,15-64,3586.3
primary care syndromic,Austria,2024-W41,ILIconsultationrate,5-14,4150.0
primary care syndromic,Austria,2024-W41,ILIconsultationrate,65+,2331.1
primary care syndromic,Austria,2024-W41,ILIconsultationrate,total,3234.6
primary care syndromic,Austria,2024-W40,ILIconsultationrate,15-64,4594.4
primary care syndromic,Austria,2024-W40,ILIconsultationrate,65+,2007.4
primary care syndromic,Austria,2024-W40,ILIconsultationrate,total,4098.5
primary care syndromic,Austria,2024-W14,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W14,ILIconsultationrate,15-64,1802.9
primary care syndromic,Austria,2024-W14,ILIconsultationrate,5-14,1944.9
primary care syndromic,Austria,2024-W14,ILIconsultationrate,65+,856.9
primary care syndromic,Austria,2024-W14,ILIconsultationrate,total,1512.6
primary care syndromic,Austria,2024-W13,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W13,ILIconsultationrate,15-64,2090.6
primary care syndromic,Austria,2024-W13,ILIconsultationrate,5-14,1701.8
primary care syndromic,Austria,2024-W13,ILIconsultationrate,65+,1175.7
primary care syndromic,Austria,2024-W13,ILIconsultationrate,total,1629.1
primary care syndromic,Austria,2024-W12,ILIconsultationrate,0-4,1438.1
primary care syndromic,Austria,2024-W12,ILIconsultationrate,15-64,2537.7
primary care syndromic,Austria,2024-W12,ILIconsultationrate,5-14,2863.3
primary care syndromic,Austria,2024-W12,ILIconsultationrate,65+,696.2
